Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Italy,ITA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,94.375
Luxembourg,LUX,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,10050
Luxembourg,LUX,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,3.713095342
Luxembourg,LUX,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,62.6596544
Luxembourg,LUX,Forest area (% of land area),AG.LND.FRST.ZS,36.50205761
Luxembourg,LUX,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,28.33333333
Luxembourg,LUX,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,100
Netherlands,NLD,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,188330
Netherlands,NLD,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,3.373804806
Netherlands,NLD,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,82.23312438
Netherlands,NLD,Forest area (% of land area),AG.LND.FRST.ZS,10.83546184
Netherlands,NLD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,37.33333333
Netherlands,NLD,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,97.5
Slovenia,SVN,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,16310
Slovenia,SVN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,28.22584774
Slovenia,SVN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,32.43571573
Slovenia,SVN,Forest area (% of land area),AG.LND.FRST.ZS,61.95823776
Slovenia,SVN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,36.66666667
Slovenia,SVN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,90.625
Slovak Republic,SVK,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,37770
Slovak Republic,SVK,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,27.4677924
Slovak Republic,SVK,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,19.97596876
Slovak Republic,SVK,Forest area (% of land area),AG.LND.FRST.ZS,39.96817936
Slovak Republic,SVK,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,18.66666667
Slovak Republic,SVK,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,94.375
Spain,ESP,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,325510
Spain,ESP,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,19.97537665
Spain,ESP,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,44.06714376
Spain,ESP,Forest area (% of land area),AG.LND.FRST.ZS,37.12753247
Spain,ESP,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,41.14285714
Spain,ESP,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,97.5
Bulgaria,BGR,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,57310
Bulgaria,BGR,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0
Bulgaria,BGR,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,50.40416889
Bulgaria,BGR,Forest area (% of land area),AG.LND.FRST.ZS,35.30766396
Bulgaria,BGR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,20.41666667
Bulgaria,BGR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,90.625
Croatia,HRV,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,22690
Croatia,HRV,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0
Croatia,HRV,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,33.17316248
Croatia,HRV,Forest area (% of land area),AG.LND.FRST.ZS,33.96359781
Croatia,HRV,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,15.23178808
Croatia,HRV,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,93.75
Cyprus,CYP,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,8140
Cyprus,CYP,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0
Cyprus,CYP,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,91.21994264
Cyprus,CYP,Forest area (% of land area),AG.LND.FRST.ZS,18.69155844
Cyprus,CYP,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,12.5
Cyprus,CYP,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,88.75
Latvia,LVA,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,11500
Latvia,LVA,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0
Latvia,LVA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,49.82830291
Latvia,LVA,Forest area (% of land area),AG.LND.FRST.ZS,54.58619025
Latvia,LVA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,18
Latvia,LVA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,100
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/28/2021,,,,
